# Motion State    
# Angle Units     : degrees
# Time            	centreOfRotation	centreOfMass	rotation	velocity	omega
0.000829723       	(2.5000000000e-01 7.0006158704e-03 1.2500000000e-01)	(4.9744986485e-01 -1.6837080177e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5427778869e+00)	(0.0000000000e+00 1.1989002185e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3314042561e+01)
0.000852365       	(2.5000000000e-01 7.0006433003e-03 1.2500000000e-01)	(4.9744955095e-01 -1.6840310984e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5435323159e+00)	(0.0000000000e+00 1.2239613923e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3323794275e+01)
0.000875008       	(2.5000000000e-01 7.0006712979e-03 1.2500000000e-01)	(4.9744923691e-01 -1.6843542173e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5442869656e+00)	(0.0000000000e+00 1.2490440280e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3333541658e+01)
0.000897651       	(2.5000000000e-01 7.0006998637e-03 1.2500000000e-01)	(4.9744892275e-01 -1.6846773742e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5450418360e+00)	(0.0000000000e+00 1.2741479172e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3343284757e+01)
0.000920293       	(2.5000000000e-01 7.0007289981e-03 1.2500000000e-01)	(4.9744860844e-01 -1.6850005691e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5457969269e+00)	(0.0000000000e+00 1.2992728232e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3353023620e+01)
0.000942936       	(2.5000000000e-01 7.0007587017e-03 1.2500000000e-01)	(4.9744829400e-01 -1.6853238019e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5465522383e+00)	(0.0000000000e+00 1.3244185445e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3362758288e+01)
0.000965579       	(2.5000000000e-01 7.0007889748e-03 1.2500000000e-01)	(4.9744797943e-01 -1.6856470725e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5473077701e+00)	(0.0000000000e+00 1.3495849658e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3372488774e+01)
0.000988221       	(2.5000000000e-01 7.0008198181e-03 1.2500000000e-01)	(4.9744766472e-01 -1.6859703808e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5480635221e+00)	(0.0000000000e+00 1.3747720742e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3382215066e+01)
0.00101086        	(2.5000000000e-01 7.0008512318e-03 1.2500000000e-01)	(4.9744734988e-01 -1.6862937267e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5488194943e+00)	(0.0000000000e+00 1.3999799143e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3391937155e+01)
0.00103351        	(2.5000000000e-01 7.0008832166e-03 1.2500000000e-01)	(4.9744703491e-01 -1.6866171102e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5495756867e+00)	(0.0000000000e+00 1.4252084798e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3401655037e+01)
0.00105615        	(2.5000000000e-01 7.0009157729e-03 1.2500000000e-01)	(4.9744671979e-01 -1.6869405311e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5503320990e+00)	(0.0000000000e+00 1.4504576203e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3411368714e+01)
0.00107879        	(2.5000000000e-01 7.0009489010e-03 1.2500000000e-01)	(4.9744640455e-01 -1.6872639893e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5510887312e+00)	(0.0000000000e+00 1.4757272792e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3421078190e+01)
0.00110143        	(2.5000000000e-01 7.0009826016e-03 1.2500000000e-01)	(4.9744608917e-01 -1.6875874849e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5518455832e+00)	(0.0000000000e+00 1.5010175593e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3430783462e+01)
0.00112408        	(2.5000000000e-01 7.0010168751e-03 1.2500000000e-01)	(4.9744577365e-01 -1.6879110176e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5526026549e+00)	(0.0000000000e+00 1.5263285666e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3440484535e+01)
0.00114672        	(2.5000000000e-01 7.0010517219e-03 1.2500000000e-01)	(4.9744545800e-01 -1.6882345874e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5533599462e+00)	(0.0000000000e+00 1.5516603275e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3450181409e+01)
0.00116936        	(2.5000000000e-01 7.0010871425e-03 1.2500000000e-01)	(4.9744514221e-01 -1.6885581942e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5541174571e+00)	(0.0000000000e+00 1.5770127850e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3459874076e+01)
0.00119201        	(2.5000000000e-01 7.0011231374e-03 1.2500000000e-01)	(4.9744482629e-01 -1.6888818379e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5548751873e+00)	(0.0000000000e+00 1.6023859148e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3469562534e+01)
0.00121465        	(2.5000000000e-01 7.0011597071e-03 1.2500000000e-01)	(4.9744451024e-01 -1.6892055185e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5556331369e+00)	(0.0000000000e+00 1.6277796873e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3479246784e+01)
0.00123729        	(2.5000000000e-01 7.0011968520e-03 1.2500000000e-01)	(4.9744419405e-01 -1.6895292358e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5563913057e+00)	(0.0000000000e+00 1.6531939569e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3488926834e+01)
0.00125993        	(2.5000000000e-01 7.0012345725e-03 1.2500000000e-01)	(4.9744387772e-01 -1.6898529897e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5571496937e+00)	(0.0000000000e+00 1.6786284498e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3498602691e+01)
0.00128258        	(2.5000000000e-01 7.0012728692e-03 1.2500000000e-01)	(4.9744356127e-01 -1.6901767802e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5579083006e+00)	(0.0000000000e+00 1.7040830340e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3508274367e+01)
0.00130522        	(2.5000000000e-01 7.0013117425e-03 1.2500000000e-01)	(4.9744324467e-01 -1.6905006072e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5586671266e+00)	(0.0000000000e+00 1.7295577817e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3517941881e+01)
0.00132786        	(2.5000000000e-01 7.0013511928e-03 1.2500000000e-01)	(4.9744292794e-01 -1.6908244706e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5594261714e+00)	(0.0000000000e+00 1.7550527172e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3527605249e+01)
0.0013505         	(2.5000000000e-01 7.0013912206e-03 1.2500000000e-01)	(4.9744261108e-01 -1.6911483703e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5601854349e+00)	(0.0000000000e+00 1.7805677214e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3537264483e+01)
0.00137315        	(2.5000000000e-01 7.0014318263e-03 1.2500000000e-01)	(4.9744229408e-01 -1.6914723062e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5609449171e+00)	(0.0000000000e+00 1.8061026648e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3546919595e+01)
0.00139579        	(2.5000000000e-01 7.0014730105e-03 1.2500000000e-01)	(4.9744197695e-01 -1.6917962782e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5617046179e+00)	(0.0000000000e+00 1.8316574469e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3556570592e+01)
0.00141843        	(2.5000000000e-01 7.0015147735e-03 1.2500000000e-01)	(4.9744165968e-01 -1.6921202863e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5624645371e+00)	(0.0000000000e+00 1.8572320135e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3566217485e+01)
0.00144107        	(2.5000000000e-01 7.0015571159e-03 1.2500000000e-01)	(4.9744134228e-01 -1.6924443303e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5632246748e+00)	(0.0000000000e+00 1.8828263561e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3575860278e+01)
0.00146372        	(2.5000000000e-01 7.0016000379e-03 1.2500000000e-01)	(4.9744102474e-01 -1.6927684103e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5639850307e+00)	(0.0000000000e+00 1.9084404492e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3585498975e+01)
0.00148636        	(2.5000000000e-01 7.0016435402e-03 1.2500000000e-01)	(4.9744070707e-01 -1.6930925260e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5647456048e+00)	(0.0000000000e+00 1.9340743174e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3595133584e+01)
0.001509          	(2.5000000000e-01 7.0016876231e-03 1.2500000000e-01)	(4.9744038926e-01 -1.6934166774e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5655063971e+00)	(0.0000000000e+00 1.9597279949e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3604764113e+01)
0.00153165        	(2.5000000000e-01 7.0017322871e-03 1.2500000000e-01)	(4.9744007132e-01 -1.6937408644e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5662674073e+00)	(0.0000000000e+00 1.9854014836e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3614390573e+01)
0.00155429        	(2.5000000000e-01 7.0017775326e-03 1.2500000000e-01)	(4.9743975325e-01 -1.6940650870e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5670286355e+00)	(0.0000000000e+00 2.0110947852e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3624012974e+01)
0.00157693        	(2.5000000000e-01 7.0018233602e-03 1.2500000000e-01)	(4.9743943504e-01 -1.6943893450e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5677900815e+00)	(0.0000000000e+00 2.0368079267e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3633631324e+01)
0.00159957        	(2.5000000000e-01 7.0018697701e-03 1.2500000000e-01)	(4.9743911669e-01 -1.6947136384e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5685517452e+00)	(0.0000000000e+00 2.0625409368e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3643245625e+01)
0.00162222        	(2.5000000000e-01 7.0019167630e-03 1.2500000000e-01)	(4.9743879821e-01 -1.6950379671e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5693136266e+00)	(0.0000000000e+00 2.0882938308e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3652855878e+01)
0.00164486        	(2.5000000000e-01 7.0019643392e-03 1.2500000000e-01)	(4.9743847960e-01 -1.6953623310e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5700757256e+00)	(0.0000000000e+00 2.1140666356e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3662462084e+01)
0.0016675         	(2.5000000000e-01 7.0020124992e-03 1.2500000000e-01)	(4.9743816085e-01 -1.6956867300e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5708380420e+00)	(0.0000000000e+00 2.1398593890e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3672064247e+01)
0.00169014        	(2.5000000000e-01 7.0020612434e-03 1.2500000000e-01)	(4.9743784196e-01 -1.6960111640e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5716005758e+00)	(0.0000000000e+00 2.1656721338e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3681662373e+01)
0.00171279        	(2.5000000000e-01 7.0021105723e-03 1.2500000000e-01)	(4.9743752295e-01 -1.6963356329e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5723633268e+00)	(0.0000000000e+00 2.1915048878e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3691256466e+01)
0.00173537        	(2.5000000000e-01 7.0021603504e-03 1.2500000000e-01)	(4.9743720466e-01 -1.6966592525e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5731242161e+00)	(0.0000000000e+00 2.2173224185e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3700833474e+01)
0.00175795        	(2.5000000000e-01 7.0022107109e-03 1.2500000000e-01)	(4.9743688624e-01 -1.6969829067e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5738853214e+00)	(0.0000000000e+00 2.2431248749e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3710393433e+01)
0.00178053        	(2.5000000000e-01 7.0022616542e-03 1.2500000000e-01)	(4.9743656769e-01 -1.6973065954e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5746466424e+00)	(0.0000000000e+00 2.2689472565e-03 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3719949412e+01)
